date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1886,3,434850,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1886,3,434850,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1886,3,434850,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1886,3,434850,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,9,20.696792
1886,3,434850,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),5,11.498218
1886,3,434850,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,8,18.397148
1886,3,434850,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,43,98.884673
1886,3,434850,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1886,3,434850,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1886,3,434850,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1886,3,434850,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,40,91.985742
1886,3,434850,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,19,43.693228
1886,3,434850,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1886,3,434850,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,2,4.599287
1886,3,434850,tremblement,tremblement,Tremblement(s)?,68,156.375762
1887,2,316441,épilepsie,epilepsie,[EÉ]pilepsie(s)?,187,590.947444
1887,2,316441,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1887,2,316441,aphasie,aphasie,Aphasie(s)?,29,91.644256
1887,2,316441,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1887,2,316441,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1887,2,316441,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,1,3.160147
1887,2,316441,athétose,athetose,Athétose(s)?,15,47.402201
1887,2,316441,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,2,6.320294
1887,2,316441,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1887,2,316441,chorée,choree,Chorée(s)?,37,116.92543
1887,2,316441,clonus,clonus,Clonus,1,3.160147
1887,2,316441,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,0,0.0
