date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1887,3,425920,chorée,choree,Chorée(s)?,24,56.34861
1887,3,425920,clonus,clonus,Clonus,0,0.0
1887,3,425920,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,0,0.0
1887,3,425920,fugue,fugue,Fugue(s)?,0,0.0
1887,3,425920,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1887,3,425920,hypnose,hypnose,Hypnose(s)?,100,234.785875
1887,3,425920,hystérie,hysterie,Hystérie(s)?,211,495.398197
1887,3,425920,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,0,0.0
1887,3,425920,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1887,3,425920,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1887,3,425920,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1887,3,425920,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1887,3,425920,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1887,3,425920,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),0,0.0
1887,3,425920,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1887,3,425920,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1887,3,425920,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1887,3,425920,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1887,3,425920,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1887,3,425920,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,0,0.0
1887,3,425920,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,0,0.0
1887,3,425920,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1887,3,425920,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,17,39.913599
1887,3,425920,tremblement,tremblement,Tremblement(s)?,23,54.000751
1888,4,353996,épilepsie,epilepsie,[EÉ]pilepsie(s)?,352,994.361518
1888,4,353996,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
